WE Potential	WE Current	Index
0.311056	-1.192344	188
0.309103	-1.3456785666666664	189
0.30715	-1.504435	190
0.305119	-1.6710600000000002	191
0.303165	-1.8368693333333328	192
0.301134	-2.024505666666667	193
0.299181	-2.2095673333333328	194
0.297228	-2.38414	195
0.295197	-2.586843333333333	196
0.293243	-2.796016666666666	197
0.29129	-3.02134	198
0.289259	-3.261076666666666	199
0.287306	-3.4997833333333324	200
0.285275	-3.7501433333333343	201
0.283321	-3.9870666666666654	202
0.281368	-4.290523333333333	203
0.279337	-4.438403333333333	204
0.277384	-4.83375	205
0.275352	-5.115943333333332	206
0.273399	-5.431133333333332	207
0.271446	-5.775203333333332	208
0.269415	-6.12873	209
0.267462	-6.476266666666666	210
0.26543	-6.721103333333332	211
0.263477	-7.20261	212
0.261524	-7.449893333333331	213
